region0,0,2,0,39
region1,2,4,0,118
region2,1,1,0,230
region3,1,1,0,59
region4,1,3,0,233
region5,1,0,0,216
region6,4,1,0,215
region7,1,3,0,148
region8,4,1,0,114
region9,2,2,0,207
region10,0,4,0,200
region11,1,2,0,78
region12,0,2,0,17
region13,2,1,0,54
region14,3,2,0,186
region15,1,3,0,156
region16,1,0,0,1
region17,4,2,0,59
region18,4,1,0,82
region19,4,0,0,221
region20,4,4,0,232
region21,1,0,0,147
region22,2,4,0,212
region23,3,1,0,222
region24,2,2,0,10
region25,3,1,0,219
region26,0,4,0,88
region27,4,0,0,163
region28,2,3,0,101
region29,2,2,0,47
region30,2,4,0,1
region31,4,0,0,9
region32,2,1,0,34
region33,1,2,0,63
region34,1,1,0,72
region35,4,4,0,86
region36,0,3,0,91
region37,0,1,0,104
region38,3,4,0,134
region39,3,2,0,183
region40,0,0,0,37
region41,1,0,0,218
region42,0,4,0,93
region43,3,1,0,120
region44,4,3,0,52
region45,1,2,0,190
region46,0,1,0,135
region47,2,0,0,31
region48,3,4,0,115
region49,2,3,0,25
region50,2,0,0,191
region51,3,3,0,14
region52,3,1,0,77
region53,4,1,0,240
region54,4,2,0,100
region55,0,1,0,186
region56,1,3,0,28
region57,0,3,0,113
region58,4,0,0,197
region59,2,2,0,86
region60,3,0,0,130
region61,2,1,0,72
region62,0,2,0,127
region63,3,0,0,185
region64,4,2,0,64
region65,2,1,0,174
region66,1,2,0,7
region67,0,3,0,121
region68,1,0,0,235
region69,4,1,0,189
region70,3,4,0,216
region71,4,3,0,197
region72,3,1,0,123
region73,3,4,0,169
region74,0,1,0,140
region75,0,0,0,70
region76,1,4,0,138
region77,0,0,0,169
region78,2,2,0,72
region79,4,0,0,192
region80,1,2,0,230
region81,0,2,0,216
region82,3,0,0,53
region83,0,1,0,55
region84,1,4,0,40
region85,0,0,0,182
region86,4,4,0,29
region87,4,4,0,94
region88,0,0,0,239
region89,3,2,0,14
region90,1,4,0,120
region91,3,4,0,34
region92,0,2,0,42
region93,3,4,0,235
region94,3,1,0,113
region95,0,4,0,196
region96,2,0,0,76
region97,0,3,0,217
region98,0,1,0,186
region99,2,3,0,105
region100,2,3,0,18
region101,4,2,0,52
region102,2,2,0,105
region103,0,3,0,128
region104,1,3,0,100
region105,1,4,0,59
region106,1,2,0,47
region107,3,0,0,1
region108,1,0,0,67
region109,4,0,0,51
region110,1,1,0,223
region111,4,2,0,211
region112,1,2,0,126
region113,1,2,0,93
region114,2,0,0,24
region115,3,4,0,181
region116,3,2,0,128
region117,1,1,0,23
region118,0,1,0,95
region119,3,4,0,177
region120,0,2,0,147
region121,4,4,0,117
region122,2,3,0,58
region123,0,2,0,94
region124,4,2,0,239
region125,4,1,0,67
region126,0,3,0,50
region127,0,4,0,49
region128,3,3,0,56
region129,3,3,0,12
region130,2,3,0,154
region131,2,3,0,116
region132,2,0,0,5
region133,0,4,0,12
region134,2,4,0,62
region135,4,3,0,117
region136,3,3,0,173
region137,0,1,0,178
region138,4,1,0,163
region139,4,3,0,240
region140,2,2,0,160
region141,0,2,0,136
region142,0,0,0,78
region143,2,0,0,86
region144,2,3,0,19
region145,0,4,0,36
region146,1,1,0,140
region147,0,0,0,117
region148,4,1,0,178
region149,1,2,0,91
region150,3,2,0,61
region151,1,1,0,19
region152,0,2,0,9
region153,1,1,0,144
region154,3,4,0,177
region155,4,0,0,8
region156,1,1,0,235
region157,0,3,0,124
region158,4,0,0,25
region159,0,1,0,98
region160,0,4,0,39
region161,3,2,0,69
region162,2,2,0,216
region163,0,3,0,120
region164,0,3,0,37
region165,4,2,0,99
region166,3,3,0,6
region167,4,0,0,133
region168,2,2,0,215
region169,2,4,0,63
region170,1,2,0,160
region171,0,0,0,48
region172,1,2,0,210
region173,1,3,0,72
region174,0,1,0,181
region175,4,1,0,207
region176,1,1,0,75
region177,1,4,0,80
region178,3,4,0,20
region179,2,1,0,117
region180,1,1,0,180
region181,4,2,0,171
region182,0,3,0,134
region183,2,1,0,50
region184,3,1,0,237
region185,2,3,0,88
region186,1,2,0,153
region187,4,0,0,93
region188,2,3,0,111
region189,3,1,0,202
region190,2,0,0,152
region191,1,0,0,106
region192,1,1,0,234
region193,4,4,0,55
region194,2,3,0,13
region195,4,3,0,163
region196,4,3,0,237
region197,2,4,0,127
region198,4,3,0,53
region199,2,3,0,152
region200,0,3,0,4
region201,1,1,0,192
region202,4,2,0,84
region203,2,0,0,236
region204,3,0,0,52
region205,0,0,0,5
